STATE/UT,2015,2016,2017,2018,2019,2020
CHANDIGARH,440.26165,387.98365,426.58575,435.16184,435.8654758,312.0462309
DELHI,4996.69673,4881.71322,4998.94978,4890.48556,4621.385537,2911.277184
HARYANA,10773.69923,10720.77863,10974.08757,10522.6689,10222.7708,9852.998873
HIMACHAL PRADESH,1549.25863,1707.42894,1578.08408,1558.83099,1693.505046,1527.838183
JAMMU & KASHMIR,1341.49201,1258.65347,1444.0688,1502.72005,1371.69806,1300.818672
PUNJAB,5962.29691,6346.40801,6787.74599,7063.32412,7113.901901,5964.00485
RAJASTHAN,11217.74665,10983.55412,11267.14144,11402.74899,10920.63487,9179.391579
UTTAR PRADESH,15011.66659,15929.62646,16890.64068,18180.43239,18407.20688,18090.21955
UTTARAKHAND,1519.44165,1486.22273,1525.59701,1725.49317,1655.701481,1533.610266
Region Total,52812.56005,53702.36923,55892.9011,57281.86601,56570.99549,50812.81997
ARUNACHAL PRADESH,199.73971,224.91372,242.37126,248.39737,263.3233168,275.8059754
ASSAM,2119.5333,2242.7223,2517.34316,2743.9825,2823.307332,2710.027325
MANIPUR,179.49987,163.15559,207.46038,240.98949,254.7131218,236.6507615
MEGHALAYA,418.6805,428.00294,484.33544,491.87827,550.3348884,409.2973697
MIZORAM,113.08735,117.28669,124.51214,138.76196,140.9057953,130.4138416
NAGALAND,127.26413,132.25201,143.07199,154.36188,171.5825184,162.5432524
SIKKIM,100.2007,104.31502,117.10367,125.87463,130.0895795,108.1488444
TRIPURA,212.13713,214.69385,234.77019,234.85895,231.7828408,229.7996721
ANDAMAN & NICOBAR,179.72201,185.99711,201.7037,212.01694,217.1404749,171.4611968
BIHAR,4633.15838,4758.52611,4971.81025,5242.34187,5396.893505,5518.296653
JHARKHAND,2767.97824,2920.79296,3184.27435,3409.1393,3416.367975,3139.303579
ODISHA,4461.27419,5176.83774,5687.33616,5929.73146,6029.63684,5926.673449
WEST BENGAL,7193.56717,7504.99042,8249.05127,8788.91083,9308.491101,8490.737522
Region Total,19235.69999,20547.14434,22294.17573,23582.1404,24368.5299,23246.4724
CHHATTISGARH,2872.6134,2910.23563,3586.67322,4109.87517,3666.991466,3420.814794
DADRA & NAGAR HAVELI AND DAMAN & DIU,591.99585,657.9393,636.53566,618.85977,570.3799571,541.6330726
GOA,729.88379,779.54308,779.14503,797.5355,789.915114,555.5835004
GUJARAT,18979.8863,18963.01311,19134.39222,21216.44281,22535.57748,21940.06314
MADHYA PRADESH,7008.57113,6962.42033,7397.79027,8005.9597,7859.998645,7283.316347
MAHARASHTRA,18227.45514,19333.40824,20618.01646,21017.23258,20796.80545,17849.38568
ANDHRA PRADESH + Telangana,"11,887.57","12,717.85","13,515.12","14,819.57","14,651.85","13,489.07"
KARNATAKA,11051.23891,11459.30609,12548.07203,13205.949,13067.3677,11121.36631
KERALA,5551.65856,5724.37804,6145.00669,6338.94642,6533.458472,5461.284324
LAKSHADWEEP,14.99117,13.77407,14.54288,15.13763,16.53286498,17.692459
PUDUCHERRY,520.77288,542.59766,554.46252,542.08999,516.6537276,412.816598
TAMIL NADU,12698.28362,13284.05973,13938.65531,14421.1941,14115.55334,12194.96568
Region Total,41724.51091,43741.97023,46715.86402,49342.88684,48901.41833,42697.19331
ALL INDIA TOTAL,165653.3193,171225.3856,181126.4619,190351.9038,190626.6512,172609.9693
