Products,2015,2016,2017,2018,2019,2020
LPG,19623.3,21608.2,23341.82104,24906.8,26329.78,27558.42647
Naphtha,13270.9,13240.8,12888.60699,14131.2,14267.77878,14100.35545
MS,21846.5,23764.8,26174.47836,28284.3,29975.48841,27968.99371
ATF,6261.9,6997.6,7632.6844,8300,7998.609036,3697.754979
SKO,6826.4,5396.7,3845.11811,3459.5,2396.824502,1797.871249
HSD,74647,76026.8,81073.43646,83528.2,82602.01251,72712.72631
LDO,407.2,449,523.78752,598.1,627.7995446,855.064224
Lubricants & Greases,3571.2,3470.1,3883.883312,3667.9,3833.387782,4097.298153
FO & LSHS,6632.1,7150.4,6720.97204,6563.5,6301.539119,5586.48164
Bitumen,5937.9,5935.4,6085.851527,6707.6,6720.36885,7523.91539
Petroleum coke,19297.4,23964,25656.72872,21346,21708.15883,15605.15257
Others,6352.3,6593.4,8338.79836,11723.2,11364.8791,12791.28092
Total,184674.1,194597.2,206166.1668,213216.3,214126.6264,194295.3211
